line, threshold, probability, betrivers, draftkings, fanduel, mgm, pointsbet
Jrue Holiday O*rebounds, 5.0, 0.1974749904657985, 406.0*, 405.0*, 406.0*, 405.0*, 410.0*, 
Jrue Holiday U*rebounds, 5.0, 0.3804676504473664, 161.0*, 175.0*, 164.0*, 160.0*, 155.0*, 
Jrue Holiday O*rebast, 9.5, 0.5374005839122118, , -110, -120, -115, -120, 
Jrue Holiday U*rebast, 9.5, 0.5242664688363492, , -110, -106, -115, -110, 
Jrue Holiday O*threes, 1.5, 0.5882854692444756, -139, -130, -142, -155, -150, 
Jrue Holiday U*threes, 1.5, 0.47318520511726775, 105, 110, 112, 115, 115, 
Jrue Holiday O*steals, 1.5, 0.46915553722133413, 105, , 120, 115, , 
Jrue Holiday U*steals, 1.5, 0.5985774360041076, -139, , -154, -155, , 
Jrue Holiday O*stlblk, 2.5, 0.43478260869565216, , , , 130, , 
Jrue Holiday U*stlblk, 2.5, 0.6226415094339622, , , , -165, , 
Al Horford O*points, 9.5, 0.47408093521368916, 417.0*, -120, -113, -120, -125, 
Al Horford U*points, 9.5, 0.48019384764414863, 199.0*, 100, -113, -110, -105, 
Al Horford O*rebounds, 8.0, 0.5652945083400592, 380.0*, -404.0*, -400.0*, -412.0*, 372.0*, 
Al Horford U*rebounds, 8.0, 0.49283425850558754, 378.0*, -142.0*, -154.0*, -152.0*, 118.0*, 
Al Horford O*rebast, 10.5, 0.5638521947160391, , -120, -128, -130, -140, 
Al Horford U*rebast, 10.5, 0.5, , 100, 100, -105, 105, 
Al Horford O*threes, 1.5, 0.5771414223588136, -122, -125, -130, -150, -160, 
Al Horford U*threes, 1.5, 0.487024282842735, -109, 105, 102, 110, 120, 
Al Horford O*ptsreb, 17.5, 0.5097799753763057, , -120, -118, -125, 152.0*, 
Al Horford U*ptsreb, 17.5, 0.4906150934851523, , 100, -108, -105, 132.0*, 
Al Horford O*steals, 0.5, 0.6, , , , -150, , 
Al Horford U*steals, 0.5, 0.46511627906976744, , , , 115, , 
Al Horford O*blocks, 0.5, 0.5938375350140056, , , -138, -155, , 
Al Horford U*blocks, 0.5, 0.4729427549194991, , , 108, 115, , 
Al Horford O*stlblk, 1.5, 0.5348837209302325, , , , -115, , 
Al Horford U*stlblk, 1.5, 0.5348837209302325, , , , -115, , 
Caleb Martin O*points, 12.5, 0.45873845251629736, 394.0*, -105, -104, -120, -110, 
Caleb Martin U*points, 12.5, 0.508142277297724, 166.0*, -115, -122, -115, -120, 
Caleb Martin O*threes, 1.5, 0.5886724293787664, -143, -142, -136, -150, -145, 
Caleb Martin U*threes, 1.5, 0.472876178089839, 107, 120, 106, 115, 110, 
Caleb Martin O*steals, 0.5, 0.623868778280543, , , -172, -160, , 
Caleb Martin U*steals, 0.5, 0.44094794094794093, , , 134, 120, , 
Caleb Martin O*stlblk, 1.5, 0.4444444444444444, , , , 125, , 
Caleb Martin U*stlblk, 1.5, 0.6226415094339622, , , , -165, , 
Caleb Martin O*turnovers, 1.5, 0.45454545454545453, , , , 120, , 
Caleb Martin U*turnovers, 1.5, 0.6153846153846154, , , , -160, , 
Haywood Highsmith O*points, 6.5, 0.4779986139477126, 474.0*, -130, -122, -120, -125, 
Haywood Highsmith U*points, 6.5, 0.46187107307178543, 248.0*, 110, -104, -110, -105, 
Payton Pritchard O*points, 6.5, 0.5153296659927018, , -108, -106, -105, , 
Payton Pritchard U*points, 6.5, 0.5431039959341846, , -112, -120, -125, , 
Sam Hauser O*points, 6.0, 0.24681144335456523, , 383.0*, 170.0*, 388.0*, 388.0*, 
Sam Hauser U*points, 6.0, 0.39341094368555285, , 163.0*, 170.0*, 143.0*, 143.0*, 
Nikola Jovic O*points, 8.5, 0.4606218666541072, 210.0*, -118, 214.0*, -125, -130, 
Nikola Jovic U*points, 8.5, 0.4087325400243162, 430.0*, -102, 196.0*, -105, 100, 
Delon Wright O*points, 5.5, 0.5180381633870006, , , -108, 100, -115, 
Delon Wright U*points, 5.5, 0.5502120699021135, , , -118, -135, -115, 
Haywood Highsmith O*rebounds, 4.0, 0.8209754552803442, -457.0*, -455.0*, -447.0*, -480.0*, -455.0*, 
Haywood Highsmith U*rebounds, 4.0, 0.7347673746935897, -428.0*, -215.0*, -429.0*, -210.0*, -225.0*, 
Nikola Jovic O*rebounds, 5.5, 0.49515466150904236, 107, 102, 106, -105, 100, 
Nikola Jovic U*rebounds, 5.5, 0.5682635518525647, -141, -122, -136, -130, -130, 
Delon Wright O*rebounds, 3.5, 0.5259746713235085, , -108, , -110, -115, 
Delon Wright U*rebounds, 3.5, 0.5362133843924103, , -112, , -120, -115, 
Payton Pritchard O*rebast, 5.5, 0.574468085106383, , , , -135, , 
Payton Pritchard U*rebast, 5.5, 0.5, , , , 100, , 
Delon Wright O*rebast, 6.0, 0.19980518495452987, , , , 398.0*, 403.0*, 
Delon Wright U*rebast, 6.0, 0.4388075213148829, , , , 133.0*, 123.0*, 
Sam Hauser O*threes, 1.5, 0.6126683879658734, , -162, -172, -150, -150, 
Sam Hauser U*threes, 1.5, 0.44532794976232104, , 136, 134, 115, 115, 
Nikola Jovic O*threes, 1.5, 0.5469415293561152, -120, -112, -113, -130, -130, 
Nikola Jovic U*threes, 1.5, 0.515609817589621, -112, -108, -113, 100, 100, 
Haywood Highsmith O*threes, 1.5, 0.35379682126591694, 190, 190, 190, 180, 165, 
Haywood Highsmith U*threes, 1.5, 0.6313663737392551, 195, -230, -250, -250, -225, 
Payton Pritchard O*threes, 1.5, 0.40408163265306124, , 150, , 145, , 
Payton Pritchard U*threes, 1.5, 0.6490147783251232, , -180, , -190, , 
Delon Wright O*threes, 0.5, 0.5928711980660033, , -142, , -150, -145, 
Delon Wright U*threes, 0.5, 0.4689754689754689, , 120, , 110, 110, 
Delon Wright O*ptsast, 7.5, 0.37931507386074215, , , , -135, 443.0*, 
Delon Wright U*ptsast, 7.5, 0.4236111111111111, , , , 100, 188.0*, 
